ISBN13;ID;RandomStr;Navn
9788702152487;232;Liste nr ;Liste nr  232
9788741256078;367;Liste nr ;Liste nr  367
9788792098832;168;Liste nr ;Liste nr  168
9788741256061;319;Liste nr ;Liste nr  319
9788741259963;379;Liste nr ;Liste nr  379
9788759317952;365;Liste nr ;Liste nr  365
9788776732318;82;Liste nr ;Liste nr  82
9788740013429;808;Liste nr ;Liste nr  808
9788741257952;556;Liste nr ;Liste nr  556
9788778878274;193;Liste nr ;Liste nr  193
9788791367205;937;Liste nr ;Liste nr  937
9788776757274;174;Liste nr ;Liste nr  174
9788762803961;599;Liste nr ;Liste nr  599
9788774149187;966;Liste nr ;Liste nr  966
9788774149194;1066;Liste nr ;Liste nr  1066
9780194541268;904;Liste nr ;Liste nr  904
9788741258607;1120;Liste nr ;Liste nr  1120
9788757432121;823;Liste nr ;Liste nr  823
9788774149248;219;Liste nr ;Liste nr  219
9788741257990;806;Liste nr ;Liste nr  806
9788791980367;442;Liste nr ;Liste nr  442
9788762813861;961;Liste nr ;Liste nr  961
9788702156591;975;Liste nr ;Liste nr  975
9780077154615;1058;Liste nr ;Liste nr  1058
9788762904255;475;Liste nr ;Liste nr  475
9788759313954;32;Liste nr ;Liste nr  32
9788778872876;951;Liste nr ;Liste nr  951
9788741252780;352;Liste nr ;Liste nr  352
9788757424096;837;Liste nr ;Liste nr  837
9788761933331;896;Liste nr ;Liste nr  896
9788750044161;1184;Liste nr ;Liste nr  1184
9788702018417;450;Liste nr ;Liste nr  450
9788757127874;203;Liste nr ;Liste nr  203
9788741255613;1136;Liste nr ;Liste nr  1136
9788741257976;307;Liste nr ;Liste nr  307
9788779347304;89;Liste nr ;Liste nr  89
9788741254647;804;Liste nr ;Liste nr  804
9788750040552;348;Liste nr ;Liste nr  348
9788759315361;955;Liste nr ;Liste nr  955
9788762810211;138;Liste nr ;Liste nr  138
9788712036395;230;Liste nr ;Liste nr  230
9788757426960;950;Liste nr ;Liste nr  950
9788712049937;594;Liste nr ;Liste nr  594
9788762904019;1098;Liste nr ;Liste nr  1098
9780141349176;724;Liste nr ;Liste nr  724
9788776757397;1179;Liste nr ;Liste nr  1179
9788741254548;1181;Liste nr ;Liste nr  1181
9788711354612;1126;Liste nr ;Liste nr  1126
9788711354971;997;Liste nr ;Liste nr  997
9788741251295;112;Liste nr ;Liste nr  112
9788763832380;1148;Liste nr ;Liste nr  1148
9788741255590;765;Liste nr ;Liste nr  765
9788776743918;784;Liste nr ;Liste nr  784
9788776758943;173;Liste nr ;Liste nr  173
9788791171352;585;Liste nr ;Liste nr  585
9788762809390;302;Liste nr ;Liste nr  302
9788757430967;294;Liste nr ;Liste nr  294
9788776757625;510;Liste nr ;Liste nr  510
9788777495274;151;Liste nr ;Liste nr  151
9788777495380;129;Liste nr ;Liste nr  129
9788778874856;355;Liste nr ;Liste nr  355
